protocol,qos,side,file_size,sender_duration,receiver_duration,latency,payload_overhead
mqtt,X,receiver,1.0,X,1775977130.07,0.0156,X
mqtt,0,sender,1.0,0.05,X,0.0004,130
mqtt,X,receiver,20.0,X,1775977131.12,0.0161,X
mqtt,0,sender,20.0,1.03,X,0.0002,1272
mqtt,X,receiver,0.244140625,X,1775977131.15,0.0276,X
mqtt,0,sender,0.244140625,0.03,X,0.0003,87
mqtt,X,receiver,50.0,X,1775977133.72,0.0172,X
mqtt,0,sender,50.0,2.54,X,0.0003,3073
mqtt,X,receiver,5.0,X,1775977133.98,0.0157,X
mqtt,0,sender,5.0,0.25,X,0.0003,371
mqtt,X,receiver,1.0,X,1775977134.05,0.0151,X
mqtt,1,sender,1.0,0.05,X,0.0005,140
mqtt,X,receiver,20.0,X,1775977135.04,0.0149,X
mqtt,1,sender,20.0,0.97,X,0.0005,1434
mqtt,X,receiver,0.244140625,X,1775977135.06,0.0146,X
mqtt,1,sender,0.244140625,0.01,X,0.0005,91
mqtt,X,receiver,50.0,X,1775977137.49,0.0142,X
mqtt,1,sender,50.0,2.41,X,0.0004,3475
mqtt,X,receiver,5.0,X,1775977137.75,0.0148,X
mqtt,1,sender,5.0,0.24,X,0.0005,413
mqtt,X,receiver,1.0,X,1775977137.81,0.0149,X
mqtt,2,sender,1.0,0.05,X,0.0007,140
mqtt,X,receiver,20.0,X,1775977138.79,0.0143,X
mqtt,2,sender,20.0,0.96,X,0.0007,1434
mqtt,X,receiver,0.244140625,X,1775977138.82,0.0143,X
mqtt,2,sender,0.244140625,0.01,X,0.0006,91
mqtt,X,receiver,50.0,X,1775977141.22,0.0143,X
mqtt,2,sender,50.0,2.39,X,0.0008,3475
mqtt,X,receiver,5.0,X,1775977141.48,0.0150,X
mqtt,2,sender,5.0,0.24,X,0.0007,413
