protocol,qos,side,file_size,sender_duration,receiver_duration,latency,payload_overhead,goodput_mbps,integrity_ok
mqtt,0,sender,1.0,46.53,X,0.0003,176,0.180,
mqtt,0,receiver,1.0,X,0.01,50.8984,X,1479.404,True
mqtt,0,sender,20.0,1011.70,X,0.0002,463,0.166,
mqtt,0,receiver,20.0,X,960.81,51.4386,X,0.175,True
mqtt,0,sender,0.244140625,9.89,X,0.0002,178,0.207,
mqtt,0,receiver,0.244140625,X,0.00,12.9852,X,1108.526,True
mqtt,0,sender,50.0,2560.86,X,0.0001,913,0.164,
mqtt,0,receiver,50.0,X,2507.09,52.5203,X,0.167,True
mqtt,0,sender,5.0,258.95,X,0.0004,236,0.162,
mqtt,0,receiver,5.0,X,206.09,50.7642,X,0.204,True
mqtt,1,sender,1.0,56.87,X,3.7456,188,0.148,
mqtt,1,receiver,1.0,X,0.01,53.0278,X,1506.083,True
mqtt,1,sender,20.0,1031.33,X,0.2825,589,0.163,
mqtt,1,receiver,20.0,X,982.97,48.9606,X,0.171,True
mqtt,1,sender,0.244140625,11.59,X,0.2540,190,0.177,
mqtt,1,receiver,0.244140625,X,0.00,10.8601,X,1321.659,True
mqtt,1,sender,50.0,2607.29,X,0.1286,1219,0.161,
mqtt,1,receiver,50.0,X,2554.46,53.7995,X,0.164,True
mqtt,1,sender,5.0,258.95,X,0.2743,272,0.162,
mqtt,1,receiver,5.0,X,203.52,54.7690,X,0.206,True
