protocol,qos,side,file_size,sender_duration,receiver_duration,latency,payload_overhead,goodput_mbps,integrity_ok,avg_cpu_usage,peak_ram_usage,energy_est
mqtt,0,receiver,0.244140625,X,0.00,0.0219,X,,1158.296,True,,,
mqtt,0,sender,0.244140625,0.01,X,0.0003,,,146.759,,,,
mqtt,0,receiver,1.0,X,0.01,0.0080,X,,632.366,True,,,
mqtt,0,sender,1.0,0.02,X,0.0004,,,430.174,,,,
mqtt,0,receiver,5.0,X,0.06,0.0082,X,,688.381,True,,,
mqtt,0,sender,5.0,0.07,X,0.0003,,,623.063,,,,
mqtt,0,receiver,20.0,X,0.22,0.0067,X,,746.747,True,,,
mqtt,0,sender,20.0,0.23,X,0.0002,,,734.059,,,,
mqtt,0,receiver,50.0,X,0.63,0.0070,X,,661.379,True,,,
mqtt,0,sender,50.0,0.61,X,0.0002,,,690.234,,,,
mqtt,1,receiver,0.244140625,X,0.00,0.0069,X,,780.200,True,,,
mqtt,1,sender,0.244140625,0.01,X,0.0006,,,232.462,,,,
mqtt,1,receiver,1.0,X,0.02,0.0093,X,,525.631,True,,,
mqtt,1,sender,1.0,0.02,X,0.0005,,,343.091,,,,
mqtt,1,receiver,5.0,X,0.08,0.0061,X,,542.670,True,,,
mqtt,1,sender,5.0,0.08,X,0.0005,,,510.009,,,,
mqtt,1,receiver,20.0,X,0.29,0.0063,X,,572.040,True,,,
mqtt,1,sender,20.0,0.30,X,0.0005,,,561.362,,,,
mqtt,1,receiver,50.0,X,0.75,0.0068,X,,559.921,True,,,
mqtt,1,sender,50.0,0.75,X,0.0005,,,555.782,,,,
mqtt,2,receiver,0.244140625,X,0.00,0.0081,X,,753.638,True,,,
mqtt,2,sender,0.244140625,0.01,X,0.0008,,,217.593,,,,
mqtt,2,receiver,1.0,X,0.05,0.0208,X,,168.413,True,,,
mqtt,2,sender,1.0,0.03,X,0.0010,,,304.735,,,,
mqtt,2,receiver,5.0,X,0.07,0.0080,X,,576.370,True,,,
mqtt,2,sender,5.0,0.08,X,0.0008,,,521.031,,,,
mqtt,2,receiver,20.0,X,0.30,0.0073,X,,550.691,True,,,
mqtt,2,sender,20.0,0.31,X,0.0008,,,538.625,,,,
mqtt,2,receiver,50.0,X,0.78,0.0077,X,,537.887,True,,,
mqtt,2,sender,50.0,0.79,X,0.0008,,,532.705,,,,
