protocol,qos,side,file_size,sender_duration,receiver_duration,latency,payload_overhead,overhead_pct,goodput_mbps,integrity_ok,avg_cpu_usage,peak_ram_usage,energy_est
mqtt,0,receiver,0.244140625,X,0.00,0.7904,X,,644.731,True,,,
mqtt,0,sender,0.244140625,0.10,X,0.0002,,,20.829,,,,
mqtt,0,receiver,1.0,X,0.01,3.9781,X,,772.848,True,,,
mqtt,0,sender,1.0,3.07,X,0.0002,,,2.734,,,,
mqtt,0,receiver,5.0,X,3.16,2.5906,X,,13.287,True,,,
mqtt,0,sender,5.0,5.32,X,0.0002,,,7.877,,,,
mqtt,0,receiver,20.0,X,26.48,5.1321,X,,6.335,True,,,
mqtt,0,sender,20.0,31.15,X,0.0002,,,5.387,,,,
mqtt,0,sender,50.0,67.36,X,0.0002,,,6.227,,,,
mqtt,0,receiver,50.0,X,65.79,4.3773,X,,6.375,True,,,
mqtt,1,receiver,0.244140625,X,0.00,0.4656,X,,782.825,True,,,
mqtt,1,sender,0.244140625,0.40,X,0.0678,,,5.075,,,,
mqtt,1,sender,1.0,1.79,X,0.0813,,,4.680,,,,
mqtt,1,receiver,1.0,X,0.01,2.7674,X,,1052.574,True,,,
mqtt,1,receiver,5.0,X,7.03,3.2965,X,,5.966,True,,,
mqtt,1,sender,5.0,9.58,X,0.0541,,,4.379,,,,
mqtt,1,receiver,20.0,X,22.83,5.3428,X,,7.348,True,,,
mqtt,1,sender,20.0,28.09,X,0.0363,,,5.972,,,,
mqtt,1,receiver,50.0,X,47.85,4.4036,X,,8.765,True,,,
mqtt,1,sender,50.0,52.03,X,0.0417,,,8.062,,,,
mqtt,2,sender,0.244140625,0.80,X,0.0864,,,2.564,,,,
mqtt,2,receiver,0.244140625,X,0.00,1.5515,X,,814.780,True,,,
mqtt,2,sender,1.0,2.23,X,0.1213,,,3.759,,,,
mqtt,2,receiver,1.0,X,0.01,3.2132,X,,767.857,True,,,
mqtt,2,receiver,5.0,X,8.26,4.4699,X,,5.078,True,,,
mqtt,2,sender,5.0,12.22,X,0.0900,,,3.433,,,,
mqtt,2,receiver,20.0,X,26.37,5.4777,X,,6.361,True,,,
mqtt,2,sender,20.0,31.75,X,0.0642,,,5.284,,,,
mqtt,2,receiver,50.0,X,63.80,5.6479,X,,6.574,True,,,
mqtt,2,sender,50.0,69.57,X,0.0795,,,6.029,,,,
